method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
max_pca 20 0.7 1.5 500 2000 0 2000 2000
min_pca 1 0.7 1.5 500 44.632 19.649 17 40
min_pca 2 0.7 1.5 500 42.394 13.185 22 40.025
min_pca 3 0.7 1.5 500 38.044 9.017 23 37
min_pca 5 0.7 1.5 500 36.692 6.763 25 36
min_pca 10 0.7 1.5 500 33.948 4.551 25 34
min_pca 20 0.7 1.5 500 32.214 3.277 26 32
tpca 0.8 0.7 1.5 500 42.394 13.185 22 40.025
tpca 0.9 0.7 1.5 500 33.79 5.233 24 33
tpca 0.95 0.7 1.5 500 32.246 3.982 25 32
tpca 0.99 0.7 1.5 500 31.67 3.589 25 31
tpca 0.995 0.7 1.5 500 31.67 3.589 25 31
tpca 0.999 0.7 1.5 500 31.67 3.589 25 31
mix 0.03 0.7 1.5 500 5.976 1.432 4 6
mix 0.1 0.7 1.5 500 5.486 1.29 3 5
mix 0.3 0.7 1.5 500 5.32 1.222 3 5
mix 1 0.7 1.5 500 5.308 1.215 3 5
max_pca 1 0.7 2 500 751.324 893.833 25.425 141.05
max_pca 2 0.7 2 500 787.08 903.682 43 149
max_pca 3 0.7 2 500 1025.832 933.764 64.475 198
max_pca 5 0.7 2 500 1528.468 804.854 111.225 2000
max_pca 10 0.7 2 500 1066.024 924.082 96.475 199.025
max_pca 20 0.7 2 500 73.04 15.929 47 70
min_pca 1 0.7 2 500 13.976 7.684 4.475 12
min_pca 2 0.7 2 500 14.858 5.504 7 14
min_pca 3 0.7 2 500 15.408 4.232 9 15
min_pca 5 0.7 2 500 16.116 3.594 10 16
min_pca 10 0.7 2 500 15.664 2.426 11 15
min_pca 20 0.7 2 500 14.854 1.654 12 15
tpca 0.8 0.7 2 500 14.858 5.504 7 14
tpca 0.9 0.7 2 500 15.272 2.584 11 15
tpca 0.95 0.7 2 500 14.656 2.013 11 15
tpca 0.99 0.7 2 500 14.33 1.826 11 14
tpca 0.995 0.7 2 500 14.33 1.826 11 14
tpca 0.999 0.7 2 500 14.33 1.826 11 14
mix 0.03 0.7 2 500 2.776 0.467 2 3
mix 0.1 0.7 2 500 2.652 0.493 2 3
mix 0.3 0.7 2 500 2.568 0.504 2 3
mix 1 0.7 2 500 2.552 0.506 2 3
max_pca 1 0.5 0.5 500 426.368 697.199 43 112
max_pca 2 0.5 0.5 500 91.748 153.209 36 70
max_pca 3 0.5 0.5 500 56.294 15.12 31 53
max_pca 5 0.5 0.5 500 41.224 7.528 27.475 40
max_pca 10 0.5 0.5 500 32.36 4.68 24 32
max_pca 20 0.5 0.5 500 23.808 2.774 19 23.025
min_pca 1 0.5 0.5 500 577.148 823.389 35.475 115
min_pca 2 0.5 0.5 500 1250.406 915.465 81.95 2000
min_pca 3 0.5 0.5 500 1650.484 722.496 127.85 2000
min_pca 5 0.5 0.5 500 1992.762 114.328 2000 2000
min_pca 10 0.5 0.5 500 2000 0 2000 2000
min_pca 20 0.5 0.5 500 2000 0 2000 2000
tpca 0.8 0.5 0.5 500 1250.406 915.465 81.95 2000
tpca 0.9 0.5 0.5 500 2000 0 2000 2000
tpca 0.95 0.5 0.5 500 2000 0 2000 2000
tpca 0.99 0.5 0.5 500 2000 0 2000 2000
tpca 0.995 0.5 0.5 500 2000 0 2000 2000
tpca 0.999 0.5 0.5 500 2000 0 2000 2000
mix 0.03 0.5 0.5 500 6.81 0.963 5 7
mix 0.1 0.5 0.5 500 5.822 0.903 4 6
mix 0.3 0.5 0.5 500 5.3 0.853 4 5
